psi_f,mu_f,bf_hat_bin,n,med,q1,q3,loa_lo,loa_hi
-0.1,-0.05,"[0.2, 0.3)",1293,-0.087775758634692,-0.11092492747083,-0.0605544688561739,-0.131045437863135,-0.0356356302581266
-0.1,-0.05,"[0.9, 1.0)",108,0.613106623353371,0.587264250419961,0.638628515433732,0.569237201018851,0.665276070538205
-0.1,-0.05,"[0.1, 0.2)",1461,-0.188896237043217,-0.212642085487121,-0.161988467215188,-0.230849986623038,-0.137002565548804
-0.1,-0.05,"[0.7, 0.8)",175,0.416723255969548,0.391048173635789,0.44111091875217,0.368295336738942,0.462348627480714
-0.1,-0.05,"[0.6, 0.7)",242,0.313574746711874,0.290462735302398,0.343744342269677,0.268871228617848,0.364542448878437
-0.1,-0.05,"[0.3, 0.4)",899,0.0101559493500685,-0.0115785292783873,0.035276992982842,-0.0319861815604321,0.0636839290127602
-0.1,-0.05,"[0.5, 0.6)",362,0.206892692932368,0.18674586162735,0.234403727425695,0.16967839150613,0.262156769471386
-0.1,-0.05,"[0.8, 0.9)",129,0.508141919489072,0.487595790637966,0.538359136003494,0.470434240389028,0.564835557025188
-0.1,-0.05,"[0.0, 0.1)",2742,-0.290758853152321,-0.31280196910868,-0.265721080836963,-0.330525083517161,-0.238029007307706
-0.1,-0.1,"[0.3, 0.4)",1512,-0.150108108172719,-0.177410244554623,-0.126569181980395,-0.198051421358139,-0.102978506911347
-0.1,-0.1,"[0.4, 0.5)",1206,-0.0538264210841101,-0.075260802277612,-0.0309694897959421,-0.096734990208061,-0.00279912560417461
-0.1,-0.1,"[0.5, 0.6)",917,0.0433145140983853,0.0200968539535209,0.0707229064966958,0.00190012350451788,0.0972191131343601
-0.1,-0.1,"[0.6, 0.7)",584,0.145625071591335,0.121078066313746,0.171136245576517,0.102159650054411,0.195857071086541
-0.1,-0.1,"[0.8, 0.9)",304,0.346376457583654,0.32287932991298,0.370284875718011,0.302904649759217,0.396995283753377
-0.1,-0.1,"[0.7, 0.8)",386,0.24321312798301,0.21806532272302,0.270492046620183,0.201769497654436,0.297830846559153
-0.1,-0.1,"[0.9, 1.0)",230,0.442611218706226,0.424249529356077,0.467633488104318,0.405462730686938,0.498414066008945
-0.1,-0.1,"[0.2, 0.3)",1637,-0.248865643640961,-0.274479647742796,-0.224287085863722,-0.297356504675642,-0.202388787831954
-0.1,-0.1,"[0.1, 0.2)",1070,-0.339238389742288,-0.362325790117109,-0.317786955043208,-0.395552798118172,-0.301542465206823
-0.1,-0.15,"[0.7, 0.8)",692,0.144870059388057,0.121726608759269,0.17153455956195,0.102125969725326,0.196106932042159
-0.1,-0.15,"[0.6, 0.7)",1088,0.0466928247483547,0.0221810011968759,0.0701939913538179,0.00213694660502584,0.0970642500770471
-0.1,-0.15,"[0.5, 0.6)",1465,-0.0545261857642599,-0.0781220680412611,-0.0287023752337596,-0.0973438044414343,-0.00401957927929714
-0.1,-0.15,"[0.4, 0.5)",1715,-0.147730065044304,-0.174694499530909,-0.123896977027071,-0.197457837482572,-0.102887671759409
-0.1,-0.15,"[0.9, 1.0)",385,0.347989331907472,0.32174860740728,0.372500041625062,0.302291417059263,0.397767684864447
-0.1,-0.15,"[0.3, 0.4)",1442,-0.245831362968237,-0.271766444860343,-0.22261157815656,-0.297703293593614,-0.202419581837626
-0.1,-0.15,"[0.8, 0.9)",506,0.24703438909588,0.224641244525802,0.272204555218241,0.20265076389894,0.296566057051166
-0.1,-0.15,"[0.2, 0.3)",659,-0.33466650517637,-0.356030153318459,-0.314809602252421,-0.393977164995202,-0.301405240575863
-0.1,-0.2,"[0.6, 0.7)",1501,-0.0190457468027763,-0.0452775006613236,0.00693612186812997,-0.0642206025258044,0.0304935989829171
-0.1,-0.2,"[0.5, 0.6)",1865,-0.11637314985915,-0.141119902690274,-0.092928568717235,-0.164233490854313,-0.0701799033743542
-0.1,-0.2,"[0.7, 0.8)",996,0.0792324529023238,0.0540516344132543,0.104966952624419,0.0351886190432428,0.130868629528028
-0.1,-0.2,"[0.9, 1.0)",477,0.282150652511322,0.256849940371538,0.305988479481133,0.235882249010278,0.331105292290479
-0.1,-0.2,"[0.8, 0.9)",714,0.18184526051317,0.155769574752026,0.205651396546653,0.134699964112131,0.230827404406573
-0.1,-0.2,"[0.4, 0.5)",1663,-0.212610280739977,-0.238058135806643,-0.189373404921128,-0.263120514155736,-0.168806784270164
